# Canonical list of SIMUT log codes — see tools/gen_logcodes.py.
# Columns: code, enum, en, js_pt, pt, es   (tab-separated)
#   en     feeds translateCodeEn( ) AND EVT_NAMES_EN; --check asserts both match it
#   js_pt  EVT_NAMES_PT, historically written without accents
#   pt     @LOGCODES of language_pt-BR.lng, with accents
#   es     @LOGCODES of language_es-ES.lng
# Extracted from the five tables with all of them already in agreement.
#
525	NET_CONNECT_TIMEOUT	WiFi connect timeout	Timeout na conexao WiFi	Timeout na conexao WiFi	Timeout de conexión WiFi
526	NET_DORMANT_MODE	WiFi dormant mode	WiFi em modo dormente	WiFi em modo dormente	WiFi en modo inactivo
527	NET_SHOW_IP	Show IP	Mostrar IP	Mostrar IP	Mostrar IP
528	NET_MDNS_FAIL	mDNS start failed	Falha ao iniciar mDNS	Falha ao iniciar mDNS	Fallo al iniciar mDNS
540	TEL_HTTP_INIT	HTTP transport initialized	Transporte HTTP inicializado	Transporte HTTP inicializado	Transporte HTTP inicializado
541	TEL_MQTT_INIT	MQTT transport initialized	Transporte MQTT inicializado	Transporte MQTT inicializado	Transporte MQTT inicializado
542	TEL_MQTT_CONNECTING	MQTT connecting	MQTT conectando	MQTT conectando	MQTT conectando
543	TEL_CERT_EMPTY	cert.pem empty, insecure mode	cert.pem vazio, modo inseguro	cert.pem vazio, modo inseguro	cert.pem vacío, modo inseguro
544	TEL_CERT_READ_ERR	cert.pem read error	Erro de leitura de cert.pem	Erro de leitura de cert.pem	Error de lectura de cert.pem
545	TEL_CERT_MISSING	No cert.pem, insecure mode	Sem cert.pem, modo inseguro	Sem cert.pem, modo inseguro	Sin cert.pem, modo inseguro
546	TEL_FORCE_SYNC	Forcing telemetry sync	Forcando sync de telemetria	Forçando sync de telemetria	Forzando sincronización de telemetría
547	TEL_BACKOFF_SUPPRESSED	Retry logs suppressed	Logs de retry suprimidos	Logs de retry suprimidos	Logs de reintento suprimidos
560	STO_WRITE_FAILED	History write failed	Falha em escrever historico	Falha em escrever histórico	Fallo al escribir el historial
561	STO_CORRECT_BUDGET	Timestamp correction budget exceeded	Budget de correcao de ts excedido	Budget de correção de ts excedido	Presupuesto de corrección de ts excedido
562	STO_ENFORCE_BUDGET	Storage limit budget exceeded	Budget de limite de storage excedido	Budget de limite de storage excedido	Presupuesto de límite de almacenamiento excedido
563	STO_ENFORCE_SKIP_ACTIVE	Skipping active log file	Pulando arquivo de log ativo	Pulando arquivo de log ativo	Omitiendo el archivo de log activo
564	STO_STATS_REPORT	Storage stats report	Relatorio de estatisticas	Relatório de estatísticas	Informe de estadísticas de almacenamiento
565	STO_CONFIG_REPORT	Config report	Relatorio de config	Relatório de config	Informe de config
570	WEB_SERVER_STARTED	Web server started	Servidor web iniciado	Servidor web iniciado	Servidor web iniciado
571	WEB_DISCONNECT_FILE	Client disconnected (file)	Cliente desconectado (arquivo)	Cliente desconectado (arquivo)	Cliente desconectado (archivo)
572	WEB_DISCONNECT_HISTORY	Client disconnected (history)	Cliente desconectado (historico)	Cliente desconectado (histórico)	Cliente desconectado (historial)
573	WEB_SCREENSHOT_ABORTED	Screenshot aborted by client	Screenshot abortado pelo cliente	Screenshot abortado pelo cliente	Captura abortada por el cliente
574	WEB_UPLOAD	File uploaded	Arquivo enviado	Arquivo enviado	Archivo subido
575	WEB_CLIENT_DISCONNECT	Client disconnected (broken pipe)	Cliente desconectado (conexao encerrada)	Cliente desconectado (conexão encerrada)	Cliente desconectado (conexión cerrada)
580	CFG_THEME_APPLIED	Theme applied	Tema aplicado	Tema aplicado	Tema aplicado
581	CFG_THEME_NOT_FOUND	Theme not found	Tema nao encontrado	Tema não encontrado	Tema no encontrado
585	CLI_UNKNOWN_CMD	Unknown command	Comando desconhecido	Comando desconhecido	Comando desconocido
590	SENSOR_RUNTIME_LOADED	Runtime sensors loaded	Sensores em runtime carregados	Sensores em runtime carregados	Sensores en runtime cargados
600	DSP_FORCE_UNPAUSE	Force unpause	Forcar despausar	Forçar despausar	Forzar reanudación
999	ERR_UNKNOWN	Unknown error	Erro desconhecido	Erro desconhecido	Error desconocido
